Year,Cousin,Cousine,Aride,Denis,Fregate,Total
1957,30,,,,,30
1958,30,,,,,30
1959,26,,,,,26
1960,26,,,,,26
1961,26,,,,,26
1962,26,,,,,26
1963,26,,,,,26
1964,26,,,,,26
1965,50,,,,,50
1966,50,,,,,50
1967,50,,,,,50
1968,50,,,,,50
1969,50,,,,,50
1970,50,,,,,50
1971,50,,,,,50
1972,90,,,,,90
1973,210,,,,,210
1974,210,,,,,210
1975,269,,,,,269
1976,269,,,,,269
1977,269,,,,,269
1978,280,,,,,280
1979,280,,,,,280
1980,280,,,,,280
1981,295,,,,,295
1982,320,,,,,320
1983,310,,,,,310
1984,320,,,,,320
1985,330,,,,,330
1986,315,,,,,315
1987,329,,,,,329
1988,330,,29,,,359
1989,311,,44,,,355
1990,316,29,115,,,460
1991,325,43,210,,,578
1992,325,43,240,,,608
1993,320,43,413,,,776
1994,305,80,650,,,1035
1995,326,119,897,,,1342
1996,322,135,1600,,,2057
1997,290,137,1600,,,2027
1998,291,137,1600,,,2028
1999,293,137,1600,,,2030
2000,313,137,1600,,,2050
2001,323,137,1600,,,2060
2002,331,164,1600,,,2095
2003,322,164,1600,,,2086
2004,330,164,1850,58,,2402
2005,322,164,1850,74,,2410
2006,339,164,1850,111,,2464
2007,369,210,1850,129,,2558
2008,335,210,1850,129,,2524
2009,312,210,1850,198,,2570
2010,320,210,1850,207,,2587
2011,310,210,1850,246,59,2675
2012,303,210,1850,246,59,2668
2013,295,210,1850,301,80,2736
2014,337,210,1850,365,133.4,2895.4
2015,281,210,1850,429,186.8,2956.8
2016,267,210,1850,493,240.2,3060.2
2017,288,210,1850,557,293.6,3198.6
2018,314,210,1850,621,347,3342
2019,351,210,1850,685,400.4,3496.4
2020,271,210,1850,749,453.8,3533.8
2021,289,210,1850,813,507.2,3669.2
2022,250,210,1850,875,561,3746
2023,227,210,1850,939,614.4,3840.4
2024,184,210,1850,1003,667.8,3914.8
